date,total_value,cash,positions,is_rebalance,market_mode,nav,daily_return,benchmark,year,daily_ret
2018-01-02,1000000.0,1000000.0,{},False,bear,1.0,0.0,1.0,2018,
2018-01-03,1000000.0,1000000.0,{},False,bear,1.0,0.0,1.0053191489361704,2018,0.0
2018-01-04,1000000.0,1000000.0,{},False,bear,1.0,0.0,1.0084622823984526,2018,0.0
2018-01-05,1002041.9802,681.8802000000433,"{'510300': 59800, '510500': 37000, '510050': 85500, '159915': 147500}",True,bear,1.0020419802,0.0020419802000000153,1.012330754352031,2018,0.0020419802000000153
2018-01-08,1005883.5802,681.8802000000433,"{'510300': 59800, '510500': 37000, '510050': 85500, '159915': 147500}",False,bear,1.0058835802,0.0038337715144760587,1.0164410058027078,2018,0.0038337715144760587
2018-01-09,1009622.7802,681.8802000000433,"{'510300': 59800, '510500': 37000, '510050': 85500, '159915': 147500}",False,bear,1.0096227802,0.0037173287978879976,1.024661508704062,2018,0.0037173287978879976
2018-01-10,1010018.1802000001,681.8802000000433,"{'510300': 59800, '510500': 37000, '510050': 85500, '159915': 147500}",False,bear,1.0100181802000001,0.00039163141695541803,1.0290135396518376,2018,0.000391631416955196
2018-01-11,1011764.8802,681.8802000000433,"{'510300': 59800, '510500': 37000, '510050': 85500, '159915': 147500}",False,bear,1.0117648802,0.0017293748115050356,1.0275628626692457,2018,0.0017293748115050356
2018-01-12,1009968.1081999999,287.00820000006934,"{'510050': 87200, '510300': 59400, '510500': 37300, '159915': 143400}",True,bull,1.0099681081999998,-0.0017758789963584487,1.0331237911025144,2018,-0.0017758789963582267
2018-01-15,998988.3082000001,287.00820000006934,"{'510050': 87200, '510300': 59400, '510500': 37300, '159915': 143400}",False,bull,0.9989883082000001,-0.010871432385690216,1.0311895551257253,2018,-0.010871432385690216
2018-01-16,1004249.0082,287.00820000006934,"{'510050': 87200, '510300': 59400, '510500': 37300, '159915': 143400}",False,bull,1.0042490082,0.005266027596938283,1.041586073500967,2018,0.005266027596938283
2018-01-17,1003817.0082,287.00820000006934,"{'510050': 87200, '510300': 59400, '510500': 37300, '159915': 143400}",False,bull,1.0038170082,-0.00043017219481678026,1.0384429400386848,2018,-0.00043017219481678026
