date,total_value,year,daily_ret
2018-01-02,1000000.0,2018,
2018-01-03,1000000.0,2018,0.0
2018-01-04,1000000.0,2018,0.0
2018-01-05,1000000.0,2018,0.0
2018-01-08,1000000.0,2018,0.0
2018-01-09,1000000.0,2018,0.0
2018-01-10,1000000.0,2018,0.0
2018-01-11,1000000.0,2018,0.0
2018-01-12,1000000.0,2018,0.0
2018-01-15,1000000.0,2018,0.0
2018-01-16,1000000.0,2018,0.0
2018-01-17,1000000.0,2018,0.0
2018-01-18,1000000.0,2018,0.0
2018-01-19,1000000.0,2018,0.0
2018-01-22,1000000.0,2018,0.0
2018-01-23,1000000.0,2018,0.0
2018-01-24,1000000.0,2018,0.0
2018-01-25,1000000.0,2018,0.0
2018-01-26,1000000.0,2018,0.0
2018-01-29,1000000.0,2018,0.0
2018-01-30,1000000.0,2018,0.0
2018-01-31,1000000.0,2018,0.0
2018-02-01,1000000.0,2018,0.0
2018-02-02,1000000.0,2018,0.0
2018-02-05,1000000.0,2018,0.0
2018-02-06,1000000.0,2018,0.0
2018-02-07,1000000.0,2018,0.0
2018-02-08,1000000.0,2018,0.0
2018-02-09,1000000.0,2018,0.0
2018-02-12,1000000.0,2018,0.0
2018-02-13,1000000.0,2018,0.0
2018-02-14,1000000.0,2018,0.0
2018-02-22,1000000.0,2018,0.0
2018-02-23,1000000.0,2018,0.0
2018-02-26,1000000.0,2018,0.0
2018-02-27,1000000.0,2018,0.0
2018-02-28,1000000.0,2018,0.0
2018-03-01,1000000.0,2018,0.0
2018-03-02,1000000.0,2018,0.0
2018-03-05,1000000.0,2018,0.0
2018-03-06,1000000.0,2018,0.0
2018-03-07,1000000.0,2018,0.0
2018-03-08,1000000.0,2018,0.0
2018-03-09,1000000.0,2018,0.0
2018-03-12,1000000.0,2018,0.0
2018-03-13,1000000.0,2018,0.0
2018-03-14,1000000.0,2018,0.0
2018-03-15,1000000.0,2018,0.0
2018-03-16,1000000.0,2018,0.0
2018-03-19,1000000.0,2018,0.0
2018-03-20,1000000.0,2018,0.0
2018-03-21,1000000.0,2018,0.0
2018-03-22,1000000.0,2018,0.0
2018-03-23,1000000.0,2018,0.0
2018-03-26,1000000.0,2018,0.0
2018-03-27,1000000.0,2018,0.0
2018-03-28,1000000.0,2018,0.0
2018-03-29,1000000.0,2018,0.0
2018-03-30,1000000.0,2018,0.0
2018-04-02,1000000.0,2018,0.0
2018-04-03,1000000.0,2018,0.0
2018-04-04,1000000.0,2018,0.0
2018-04-09,1000000.0,2018,0.0
2018-04-10,1000000.0,2018,0.0
2018-04-11,1000000.0,2018,0.0
2018-04-12,1000000.0,2018,0.0
2018-04-13,1000000.0,2018,0.0
2018-04-16,1000000.0,2018,0.0
2018-04-17,1000000.0,2018,0.0
2018-04-18,1000000.0,2018,0.0
2018-04-19,1000000.0,2018,0.0
2018-04-20,1000000.0,2018,0.0
2018-04-23,1000000.0,2018,0.0
2018-04-24,1000000.0,2018,0.0
2018-04-25,1000000.0,2018,0.0
2018-04-26,1000000.0,2018,0.0
2018-04-27,1000000.0,2018,0.0
2018-05-02,1000000.0,2018,0.0
2018-05-03,1000000.0,2018,0.0
2018-05-04,1000000.0,2018,0.0
2018-05-07,1000000.0,2018,0.0
2018-05-08,1000000.0,2018,0.0
2018-05-09,1000000.0,2018,0.0
2018-05-10,1000000.0,2018,0.0
2018-05-11,1000000.0,2018,0.0
2018-05-14,1000000.0,2018,0.0
2018-05-15,1000000.0,2018,0.0
2018-05-16,1000000.0,2018,0.0
2018-05-17,1000000.0,2018,0.0
2018-05-18,1000000.0,2018,0.0
2018-05-21,1000000.0,2018,0.0
2018-05-22,1000000.0,2018,0.0
2018-05-23,1000000.0,2018,0.0
2018-05-24,1000000.0,2018,0.0
2018-05-25,1000000.0,2018,0.0
2018-05-28,1000000.0,2018,0.0
2018-05-29,1000000.0,2018,0.0
2018-05-30,1000000.0,2018,0.0
2018-05-31,1000000.0,2018,0.0
2018-06-01,1000000.0,2018,0.0
2018-06-04,1000000.0,2018,0.0
2018-06-05,1000000.0,2018,0.0
2018-06-06,1000000.0,2018,0.0
2018-06-07,1000000.0,2018,0.0
2018-06-08,1000000.0,2018,0.0
2018-06-11,1000000.0,2018,0.0
2018-06-12,1000000.0,2018,0.0
2018-06-13,1000000.0,2018,0.0
2018-06-14,1000000.0,2018,0.0
2018-06-15,1000000.0,2018,0.0
2018-06-19,1000000.0,2018,0.0
2018-06-20,1000000.0,2018,0.0
2018-06-21,1000000.0,2018,0.0
2018-06-22,1000000.0,2018,0.0
2018-06-25,1000000.0,2018,0.0
2018-06-26,1000000.0,2018,0.0
2018-06-27,1000000.0,2018,0.0
2018-06-28,1000000.0,2018,0.0
2018-06-29,1000000.0,2018,0.0
2018-07-02,1000000.0,2018,0.0
2018-07-03,1000000.0,2018,0.0
2018-07-04,1000000.0,2018,0.0
2018-07-05,1000000.0,2018,0.0
2018-07-06,1000000.0,2018,0.0
2018-07-09,1000000.0,2018,0.0
2018-07-10,1000000.0,2018,0.0
2018-07-11,1000000.0,2018,0.0
2018-07-12,1000000.0,2018,0.0
2018-07-13,1000000.0,2018,0.0
2018-07-16,1000000.0,2018,0.0
2018-07-17,1000000.0,2018,0.0
2018-07-18,1000000.0,2018,0.0
2018-07-19,1000000.0,2018,0.0
2018-07-20,1000000.0,2018,0.0
2018-07-23,1000000.0,2018,0.0
2018-07-24,1000000.0,2018,0.0
2018-07-25,1000000.0,2018,0.0
2018-07-26,1000000.0,2018,0.0
2018-07-27,1000000.0,2018,0.0
2018-07-30,1000000.0,2018,0.0
2018-07-31,1000000.0,2018,0.0
2018-08-01,1000000.0,2018,0.0
2018-08-02,1000000.0,2018,0.0
2018-08-03,1000000.0,2018,0.0
2018-08-06,1000000.0,2018,0.0
2018-08-07,1000000.0,2018,0.0
2018-08-08,1000000.0,2018,0.0
2018-08-09,1000000.0,2018,0.0
2018-08-10,1000000.0,2018,0.0
2018-08-13,1000000.0,2018,0.0
2018-08-14,1000000.0,2018,0.0
2018-08-15,1000000.0,2018,0.0
2018-08-16,1000000.0,2018,0.0
2018-08-17,1000000.0,2018,0.0
2018-08-20,1000000.0,2018,0.0
2018-08-21,1000000.0,2018,0.0
2018-08-22,1000000.0,2018,0.0
2018-08-23,1000000.0,2018,0.0
2018-08-24,1000000.0,2018,0.0
2018-08-27,1000000.0,2018,0.0
2018-08-28,1000000.0,2018,0.0
2018-08-29,1000000.0,2018,0.0
2018-08-30,1000000.0,2018,0.0
2018-08-31,1000000.0,2018,0.0
2018-09-03,1000000.0,2018,0.0
2018-09-04,1000000.0,2018,0.0
2018-09-05,1000000.0,2018,0.0
2018-09-06,1000000.0,2018,0.0
2018-09-07,1000000.0,2018,0.0
2018-09-10,1000000.0,2018,0.0
2018-09-11,1000000.0,2018,0.0
2018-09-12,1000000.0,2018,0.0
2018-09-13,1000000.0,2018,0.0
2018-09-14,1000000.0,2018,0.0
2018-09-17,1000000.0,2018,0.0
2018-09-18,1000000.0,2018,0.0
2018-09-19,1000000.0,2018,0.0
2018-09-20,1000000.0,2018,0.0
2018-09-21,1000000.0,2018,0.0
2018-09-25,1000000.0,2018,0.0
2018-09-26,1000000.0,2018,0.0
2018-09-27,1000000.0,2018,0.0
2018-09-28,1000000.0,2018,0.0
2018-10-08,1000000.0,2018,0.0
2018-10-09,1000000.0,2018,0.0
2018-10-10,1000000.0,2018,0.0
2018-10-11,1000000.0,2018,0.0
2018-10-12,1000000.0,2018,0.0
2018-10-15,1000000.0,2018,0.0
2018-10-16,1000000.0,2018,0.0
2018-10-17,1000000.0,2018,0.0
2018-10-18,1000000.0,2018,0.0
2018-10-19,1000000.0,2018,0.0
2018-10-22,1000000.0,2018,0.0
2018-10-23,1000000.0,2018,0.0
2018-10-24,1000000.0,2018,0.0
2018-10-25,1000000.0,2018,0.0
2018-10-26,1000000.0,2018,0.0
2018-10-29,1000000.0,2018,0.0
2018-10-30,1000000.0,2018,0.0
2018-10-31,1000000.0,2018,0.0
2018-11-01,1000000.0,2018,0.0
2018-11-02,1000000.0,2018,0.0
2018-11-05,1000000.0,2018,0.0
2018-11-06,1000000.0,2018,0.0
2018-11-07,1000000.0,2018,0.0
2018-11-08,1000000.0,2018,0.0
2018-11-09,1000000.0,2018,0.0
2018-11-12,1000000.0,2018,0.0
2018-11-13,1000000.0,2018,0.0
2018-11-14,1000000.0,2018,0.0
2018-11-15,1000000.0,2018,0.0
2018-11-16,1000000.0,2018,0.0
2018-11-19,1000000.0,2018,0.0
2018-11-20,1000000.0,2018,0.0
2018-11-21,1000000.0,2018,0.0
2018-11-22,1000000.0,2018,0.0
2018-11-23,1000000.0,2018,0.0
2018-11-26,1000000.0,2018,0.0
2018-11-27,1000000.0,2018,0.0
2018-11-28,1000000.0,2018,0.0
2018-11-29,1000000.0,2018,0.0
2018-11-30,1000000.0,2018,0.0
2018-12-03,1000000.0,2018,0.0
2018-12-04,1000000.0,2018,0.0
2018-12-05,1000000.0,2018,0.0
2018-12-06,1000000.0,2018,0.0
2018-12-07,1000000.0,2018,0.0
2018-12-10,1000000.0,2018,0.0
2018-12-11,1000000.0,2018,0.0
2018-12-12,1000000.0,2018,0.0
2018-12-13,1000000.0,2018,0.0
2018-12-14,1000000.0,2018,0.0
2018-12-17,1000000.0,2018,0.0
2018-12-18,1000000.0,2018,0.0
2018-12-19,1000000.0,2018,0.0
2018-12-20,1000000.0,2018,0.0
2018-12-21,1000000.0,2018,0.0
2018-12-24,1000000.0,2018,0.0
2018-12-25,1000000.0,2018,0.0
2018-12-26,1000000.0,2018,0.0
2018-12-27,1000000.0,2018,0.0
2018-12-28,1000000.0,2018,0.0
2019-01-02,1000000.0,2019,0.0
2019-01-03,1000000.0,2019,0.0
2019-01-04,1000000.0,2019,0.0
2019-01-07,1000000.0,2019,0.0
2019-01-08,1000000.0,2019,0.0
2019-01-09,1000000.0,2019,0.0
2019-01-10,1000000.0,2019,0.0
2019-01-11,1000000.0,2019,0.0
2019-01-14,1000000.0,2019,0.0
2019-01-15,1000000.0,2019,0.0
2019-01-16,1000000.0,2019,0.0
2019-01-17,1000000.0,2019,0.0
2019-01-18,1000000.0,2019,0.0
2019-01-21,1000000.0,2019,0.0
2019-01-22,1000000.0,2019,0.0
2019-01-23,1000000.0,2019,0.0
2019-01-24,1000000.0,2019,0.0
2019-01-25,1000000.0,2019,0.0
2019-01-28,1000000.0,2019,0.0
2019-01-29,1000000.0,2019,0.0
2019-01-30,1000000.0,2019,0.0
2019-01-31,1000000.0,2019,0.0
2019-02-01,1000000.0,2019,0.0
2019-02-11,999959.9110000001,2019,-4.00889999999654e-05
2019-02-12,1000516.011,2019,0.0005561222943866184
2019-02-13,1000706.9110000001,2019,0.00019080154430439755
2019-02-14,999976.5110000002,2019,-0.0007298840369455162
2019-02-15,1001005.7110000001,2019,0.001029224175446597
2019-02-18,999935.011,2019,-0.0010696242671087708
2019-02-19,999470.211,2019,-0.0004648302088504641
2019-02-20,999802.2110000001,2019,0.0003321759831820259
2019-02-21,999453.6110000001,2019,-0.0003486689628854345
2019-02-22,998831.111,2019,-0.0006228403130958959
2019-02-25,996789.3110000001,2019,-0.0020441894305391894
2019-02-26,994266.1110000001,2019,-0.002531327304732711
2019-02-27,997113.0110000002,2019,0.002863317947281452
2019-02-28,995826.5110000002,2019,-0.0012902248649927506
2019-03-01,995643.9110000001,2019,-0.00018336527294970928
2019-03-04,995362.4971000002,2019,-0.0002826451273300057
2019-03-05,994939.1971000001,2019,-0.0004252722010658072
2019-03-06,995988.1971000001,2019,0.0010543357856014346
2019-03-07,998549.9971000002,2019,0.0025721188337965994
2019-03-08,996399.9971000002,2019,-0.0021531220331921785
2019-03-11,996056.9971000002,2019,-0.00034423926234272706
2019-03-12,996661.0971000001,2019,0.0006064913973384822
2019-03-13,996234.3971000002,2019,-0.0004281294827715998
2019-03-14,994593.7971000002,2019,-0.0016468011993721055
2019-03-15,994971.5971000001,2019,0.0003798535654471191
2019-03-18,995576.4971,2019,0.0006079570530084233
2019-03-19,995332.7971000002,2019,-0.00024478279741402265
2019-03-20,996005.8971000002,2019,0.0006762562250144377
2019-03-21,996463.1971000001,2019,0.0004591338277528667
2019-03-22,996841.9971,2019,0.00038014449615642043
2019-03-25,997448.0971000001,2019,0.0006080201293316989
2019-03-26,997909.9971,2019,0.00046308173963427457
2019-03-27,997328.0971000001,2019,-0.000583118719815312
2019-03-28,997986.8971000002,2019,0.0006605649654467527
2019-03-29,1000246.6971000001,2019,0.002264358386434351
2019-04-01,999671.2971000002,2019,-0.0005752580854984091
2019-04-02,999342.1216000002,2019,-0.0003292837365190815
2019-04-03,998711.4216000002,2019,-0.0006311151970560536
2019-04-04,998475.4216000002,2019,-0.0002363044968705097
2019-04-08,995298.8216000001,2019,-0.0031814503705156483
2019-04-09,995365.2216000002,2019,6.671363268906383e-05
2019-04-10,991883.4216000001,2019,-0.003498012512837434
2019-04-11,994590.1216000003,2019,0.00272884891617009
2019-04-12,993745.7216000002,2019,-0.0008489929486146242
2019-04-15,991534.1216000002,2019,-0.0022255190155074933
2019-04-16,991573.3216000001,2019,3.9534695928322705e-05
2019-04-17,991934.1216000002,2019,0.00036386618330741527
2019-04-18,991713.9216000001,2019,-0.00022199054877236613
2019-04-19,992890.8216000001,2019,0.0011867333657080703
2019-04-22,992782.7216000002,2019,-0.00010887400472270325
2019-04-23,992117.3216000003,2019,-0.000670237289109421
2019-04-24,991175.5216000002,2019,-0.0009492828917463392
2019-04-25,991417.4216000001,2019,0.0002440536461285614
2019-04-26,992350.3216000003,2019,0.0009409760002951906
2019-04-29,989683.1216000001,2019,-0.002687760503467973
2019-04-30,991864.6216000002,2019,0.002204240885176789
2019-05-06,989219.0472000001,2019,-0.002667273680688753
2019-05-07,991763.3265000001,2019,0.0025720079968147846
2019-05-08,991286.7265000001,2019,-0.0004805582009993481
2019-05-09,990896.7265000001,2019,-0.00039342804616882
2019-05-10,992102.2265000001,2019,0.0012165748132582088
2019-05-13,993068.0265,2019,0.0009734883908154579
