date,total_value,eq,year,daily_ret
2022-08-15,1003824.136000005,0.2,2022,0.003380304769509568
2022-08-16,1005210.1360000047,0.2,2022,0.0013807199391744351
2022-08-17,1006384.1360000047,0.2,2022,0.0011679150039927144
2022-08-18,1007394.4360000048,0.2,2022,0.0010038910231788822
2022-08-19,1005707.8360000049,0.2,2022,-0.0016742200867186918
2022-08-22,1008250.7360000049,0.2,2022,0.002528467919782562
2022-08-23,1008220.4360000048,0.2,2022,-3.0052048481832294e-05
2022-08-24,1002091.6360000048,0.2,2022,-0.0060788293721908415
2022-08-25,1003872.1360000047,0.2,2022,0.0017767836154256589
2022-08-26,1001460.0360000049,0.2,2022,-0.002402796046925837
2022-08-29,1003000.8360000049,0.2,2022,0.0015385536562739777
2022-08-30,996091.9360000049,0.2,2022,-0.006888229552781788
2022-08-31,992586.4355000049,0.2,2022,-0.00351925396974595
2022-09-01,992370.0355000048,0.0,2022,-0.00021801627773720966
2022-09-02,993190.0661000051,0.0,2022,0.0008263355106112868
2022-09-05,993600.4661000051,0.0,2022,0.0004132139597525786
2022-09-06,993266.066100005,0.0,2022,-0.00033655378737162955
2022-09-07,993311.6661000049,0.0,2022,4.590914917601552e-05
2022-09-08,992946.866100005,0.0,2022,-0.0003672563329818468
2022-09-09,992103.266100005,0.0,2022,-0.0008495922881688323
2022-09-13,991297.6661000048,0.0,2022,-0.0008120122446194644
2022-09-14,990438.8661000049,0.0,2022,-0.0008663391727519176
2022-09-15,990400.8661000049,0.0,2022,-3.836683040281397e-05
2022-09-16,989526.866100005,0.0,2022,-0.0008824709568777678
2022-09-19,989640.8661000049,0.0,2022,0.00011520657387431577
2022-09-20,990735.266100005,0.0,2022,0.0011058557073466702
2022-09-21,990932.8661000049,0.0,2022,0.00019944783108183373
2022-09-22,990910.066100005,0.0,2022,-2.3008622258791078e-05
2022-09-23,989944.8661000049,0.0,2022,-0.0009740540872683612
2022-09-26,987649.6661000049,0.0,2022,-0.0023185129582439234
2022-09-27,987664.866100005,0.0,2022,1.5390072534593457e-05
2022-09-28,987338.066100005,0.0,2022,-0.0003308814672030591
2022-09-29,985658.466100005,0.0,2022,-0.001701139718672473
2022-09-30,986388.066100005,0.0,2022,0.0007402158304252726
2022-10-10,987984.0661000051,0.0,2022,0.0016180244417498546
2022-10-11,989268.4661000049,0.0,2022,0.0013000209659959072
2022-10-12,988599.6661000049,0.0,2022,-0.000676055108313034
2022-10-13,989260.8661000049,0.0,2022,0.0006688248263408969
2022-10-14,991480.0661000048,0.0,2022,0.002243291002451908
2022-10-17,990074.0661000048,0.0,2022,-0.001418081964603246
2022-10-18,989929.666100005,0.0,2022,-0.00014584767437508805
2022-10-19,990636.466100005,0.0,2022,0.0007139901188986109
2022-10-20,989952.4661000049,0.0,2022,-0.0006904651942533091
2022-10-21,990066.466100005,0.0,2022,0.00011515704430653528
2022-10-24,990910.066100005,0.0,2022,0.0008520640066953522
2022-10-25,990317.2661000049,0.0,2022,-0.000598237943361668
2022-10-26,990362.8661000049,0.0,2022,4.604584971001913e-05
2022-10-27,991054.466100005,0.0,2022,0.000698329898740635
2022-10-28,992430.0661000048,0.0,2022,0.0013880165490935958
2022-10-31,993136.866100005,0.0,2022,0.0007121912406158337
2022-11-01,992141.266100005,0.0,2022,-0.001002480155539498
2022-11-02,991252.0661000048,0.0,2022,-0.0008962433379023915
2022-11-03,992141.266100005,0.0,2022,0.0008970473105782695
2022-11-04,991198.866100005,0.0,2022,-0.0009498647341870115
2022-11-07,991191.266100005,0.0,2022,-7.667482540441029e-06
2022-11-08,991411.6661000049,0.0,2022,0.00022235869860631752
2022-11-09,991936.0661000048,0.0,2022,0.0005289427368377897
2022-11-10,991244.4661000051,0.0,2022,-0.0006972223549839285
2022-11-11,989329.266100005,0.0,2022,-0.001932116713382892
2022-11-14,986699.6661000049,0.0,2022,-0.002657962409589043
2022-11-15,985628.066100005,0.0,2022,-0.0010860447579105204
2022-11-16,984115.6661000049,0.0,2022,-0.0015344530579211035
2022-11-17,985324.0661000048,0.0,2022,0.0012279044441887432
2022-11-18,984792.066100005,0.0,2022,-0.0005399238872806356
2022-11-21,986608.466100005,0.0,2022,0.0018444502779082494
2022-11-22,987018.866100005,0.0,2022,0.00041597048282215887
2022-11-23,988690.8661000049,0.0,2022,0.0016939899098449285
2022-11-24,989906.8661000049,0.0,2022,0.0012299092079171015
2022-11-25,988060.066100005,0.0,2022,-0.0018656300539422466
2022-11-28,986258.866100005,0.0,2022,-0.0018229660946722515
2022-11-29,983606.4661000049,0.0,2022,-0.0026893547841942977
2022-11-30,984320.866100005,0.0,2022,0.0007263067340668172
2022-12-01,984883.2661000049,1.0,2022,0.0005713584049358289
2022-12-02,979337.022300005,1.0,2022,-0.0056313717482096015
2022-12-05,990899.422300005,1.0,2022,0.011806354438480549
2022-12-06,988082.2223000049,1.0,2022,-0.0028430736123157274
2022-12-07,984913.522300005,1.0,2022,-0.0032069193519381756
2022-12-08,986074.8223000049,1.0,2022,0.0011790882891808963
2022-12-09,986506.322300005,1.0,2022,0.000437593568197725
2022-12-12,974698.1223000049,1.0,2022,-0.011969715482886834
2022-12-13,973514.6223000049,1.0,2022,-0.0012142220990508656
2022-12-14,969457.822300005,1.0,2022,-0.004167169046126351
2022-12-15,965366.4223000049,1.0,2022,-0.004220297062840217
2022-12-16,965857.9223000049,1.0,2022,0.0005091331008064692
2022-12-19,949298.6223000049,1.0,2022,-0.017144654112860813
2022-12-20,939180.422300005,1.0,2022,-0.01065860600901869
2022-12-21,936945.6223000049,1.0,2022,-0.0023795214922891494
2022-12-22,927889.7223000049,1.0,2022,-0.009665342133484467
2022-12-23,923097.422300005,1.0,2022,-0.005164730123447203
2022-12-26,929321.9223000049,1.0,2022,0.006743058586915707
2022-12-27,937924.522300005,1.0,2022,0.009256856847527306
2022-12-28,935924.6223000049,1.0,2022,-0.0021322611281084924
2022-12-29,931811.7223000049,1.0,2022,-0.004394477826529131
2022-12-30,934810.1223000049,1.0,2022,0.00321781742839522
2023-01-03,945583.022300005,0.5,2023,0.011524158482039581
2023-01-04,942965.934400005,0.5,2023,-0.002767697640799649
2023-01-05,951324.9344000051,0.5,2023,0.008864583220939748
2023-01-06,947550.434400005,0.5,2023,-0.003967624376817858
2023-01-09,947605.2344000051,0.5,2023,5.7833333203749504e-05
2023-01-10,948994.5344000049,0.5,2023,0.0014661168486258536
2023-01-11,944825.234400005,0.5,2023,-0.004393386736032068
2023-01-12,945312.3344000049,0.5,2023,0.000515545078883628
2023-01-13,949548.4344000049,0.5,2023,0.004481164421374695
2023-01-16,961529.634400005,0.5,2023,0.012617787114325152
2023-01-17,963807.9344000049,0.5,2023,0.0023694537521161685
2023-01-18,963440.034400005,0.5,2023,-0.000381715056360199
2023-01-19,971703.334400005,0.5,2023,0.008576870074893828
2023-01-20,974001.934400005,0.5,2023,0.002365536803904611
2023-01-30,979047.2344000051,0.5,2023,0.005179969178508825
2023-01-31,972600.6344000051,0.5,2023,-0.00658456484374903
2023-02-01,978484.5344000051,1.0,2023,0.0060496567572463356
2023-02-02,971445.7766000052,1.0,2023,-0.0071935299460976765
2023-02-03,961880.8766000051,1.0,2023,-0.009846046202883985
2023-02-06,944659.2766000052,1.0,2023,-0.017904088145377917
2023-02-07,946601.8766000052,1.0,2023,0.0020564028196405904
2023-02-08,939324.5766000052,1.0,2023,-0.007687814888069466
2023-02-09,957324.8766000052,1.0,2023,0.019163024633246817
2023-02-10,954680.8766000053,1.0,2023,-0.0027618628373997645
2023-02-13,969810.6766000052,1.0,2023,0.015848018296839683
2023-02-14,967524.9766000052,1.0,2023,-0.002356851759988232
2023-02-15,961027.7766000052,1.0,2023,-0.006715278837381433
2023-02-16,959668.5766000053,1.0,2023,-0.0014143191623541274
2023-02-17,946853.076600005,1.0,2023,-0.013354089435129834
2023-02-20,974756.5766000053,1.0,2023,0.02946972522938518
2023-02-21,972426.3766000052,1.0,2023,-0.0023905455535656595
2023-02-22,966326.4766000051,1.0,2023,-0.006272865634648683
2023-02-23,964960.3766000052,1.0,2023,-0.0014137044084794326
2023-02-24,951673.3766000052,1.0,2023,-0.013769477298970711
2023-02-27,950425.4766000052,1.0,2023,-0.0013112692134547022
2023-02-28,955115.9766000052,1.0,2023,0.004935158111269766
2023-03-01,965684.4766000052,1.0,2023,0.011065148378756495
2023-03-02,960488.7183000053,1.0,2023,-0.0053803891704805595
2023-03-03,957849.3183000053,1.0,2023,-0.002747976056055701
2023-03-06,957032.8183000053,1.0,2023,-0.0008524305278507782
2023-03-07,938056.9183000053,1.0,2023,-0.01982784669151394
2023-03-08,936288.9183000054,1.0,2023,-0.0018847470398746236
2023-03-09,936959.5183000052,1.0,2023,0.0007162319097158143
2023-03-10,922959.0183000052,1.0,2023,-0.01494248121349162
2023-03-13,935894.9183000053,1.0,2023,0.014015681892167509
2023-03-14,929691.3183000053,1.0,2023,-0.006628521940549081
2023-03-15,926625.8183000053,1.0,2023,-0.003297330995416292
