date,total_value,cash,positions,year,daily_ret
2018-01-02,1000000.0,1000000.0,0,2018,
2018-01-03,1000000.0,1000000.0,0,2018,0.0
2018-01-04,1000000.0,1000000.0,0,2018,0.0
2018-01-05,1000000.0,1000000.0,0,2018,0.0
2018-01-08,1000000.0,1000000.0,0,2018,0.0
2018-01-09,1000000.0,1000000.0,0,2018,0.0
2018-01-10,1000000.0,1000000.0,0,2018,0.0
2018-01-11,1000000.0,1000000.0,0,2018,0.0
2018-01-12,1000000.0,1000000.0,0,2018,0.0
2018-01-15,1000000.0,1000000.0,0,2018,0.0
2018-01-16,1000000.0,1000000.0,0,2018,0.0
2018-01-17,1000000.0,1000000.0,0,2018,0.0
2018-01-18,1000000.0,1000000.0,0,2018,0.0
2018-01-19,1000000.0,1000000.0,0,2018,0.0
2018-01-22,1000000.0,1000000.0,0,2018,0.0
2018-01-23,1000000.0,1000000.0,0,2018,0.0
2018-01-24,1000000.0,1000000.0,0,2018,0.0
2018-01-25,1000000.0,1000000.0,0,2018,0.0
2018-01-26,1000000.0,1000000.0,0,2018,0.0
2018-01-29,1000000.0,1000000.0,0,2018,0.0
2018-01-30,1000000.0,1000000.0,0,2018,0.0
2018-01-31,1000000.0,1000000.0,0,2018,0.0
2018-02-01,1000000.0,1000000.0,0,2018,0.0
2018-02-02,1000000.0,1000000.0,0,2018,0.0
2018-02-05,1000000.0,1000000.0,0,2018,0.0
2018-02-06,1000000.0,1000000.0,0,2018,0.0
2018-02-07,1000000.0,1000000.0,0,2018,0.0
2018-02-08,1000000.0,1000000.0,0,2018,0.0
2018-02-09,1000000.0,1000000.0,0,2018,0.0
2018-02-12,1000000.0,1000000.0,0,2018,0.0
2018-02-13,1000000.0,1000000.0,0,2018,0.0
2018-02-14,1000000.0,1000000.0,0,2018,0.0
2018-02-22,1000000.0,1000000.0,0,2018,0.0
2018-02-23,1000000.0,1000000.0,0,2018,0.0
2018-02-26,1000000.0,1000000.0,0,2018,0.0
2018-02-27,1000000.0,1000000.0,0,2018,0.0
2018-02-28,1000000.0,1000000.0,0,2018,0.0
2018-03-01,1000000.0,1000000.0,0,2018,0.0
2018-03-02,1000000.0,1000000.0,0,2018,0.0
2018-03-05,1000000.0,1000000.0,0,2018,0.0
2018-03-06,1000000.0,1000000.0,0,2018,0.0
2018-03-07,1000000.0,1000000.0,0,2018,0.0
2018-03-08,1000000.0,1000000.0,0,2018,0.0
2018-03-09,1000000.0,1000000.0,0,2018,0.0
2018-03-12,1000000.0,1000000.0,0,2018,0.0
2018-03-13,1000000.0,1000000.0,0,2018,0.0
2018-03-14,1000000.0,1000000.0,0,2018,0.0
2018-03-15,1000000.0,1000000.0,0,2018,0.0
2018-03-16,1000000.0,1000000.0,0,2018,0.0
2018-03-19,1000000.0,1000000.0,0,2018,0.0
2018-03-20,1000000.0,1000000.0,0,2018,0.0
2018-03-21,1000000.0,1000000.0,0,2018,0.0
2018-03-22,1000000.0,1000000.0,0,2018,0.0
2018-03-23,1000000.0,1000000.0,0,2018,0.0
2018-03-26,1000000.0,1000000.0,0,2018,0.0
2018-03-27,1000000.0,1000000.0,0,2018,0.0
2018-03-28,1000000.0,1000000.0,0,2018,0.0
2018-03-29,1000000.0,1000000.0,0,2018,0.0
2018-03-30,1000000.0,1000000.0,0,2018,0.0
2018-04-02,1000000.0,1000000.0,0,2018,0.0
2018-04-03,1000000.0,1000000.0,0,2018,0.0
2018-04-04,1000000.0,1000000.0,0,2018,0.0
2018-04-09,1000000.0,1000000.0,0,2018,0.0
2018-04-10,1000000.0,1000000.0,0,2018,0.0
2018-04-11,1000000.0,1000000.0,0,2018,0.0
2018-04-12,1000000.0,1000000.0,0,2018,0.0
2018-04-13,1000000.0,1000000.0,0,2018,0.0
2018-04-16,1000000.0,1000000.0,0,2018,0.0
2018-04-17,1000000.0,1000000.0,0,2018,0.0
2018-04-18,1000000.0,1000000.0,0,2018,0.0
2018-04-19,1000000.0,1000000.0,0,2018,0.0
2018-04-20,1000000.0,1000000.0,0,2018,0.0
2018-04-23,1000000.0,1000000.0,0,2018,0.0
2018-04-24,1000000.0,1000000.0,0,2018,0.0
2018-04-25,1000000.0,1000000.0,0,2018,0.0
2018-04-26,1000000.0,1000000.0,0,2018,0.0
2018-04-27,1000000.0,1000000.0,0,2018,0.0
2018-05-02,1000000.0,1000000.0,0,2018,0.0
2018-05-03,1000000.0,1000000.0,0,2018,0.0
2018-05-04,1000000.0,1000000.0,0,2018,0.0
2018-05-07,1000000.0,1000000.0,0,2018,0.0
2018-05-08,1000000.0,1000000.0,0,2018,0.0
2018-05-09,1000000.0,1000000.0,0,2018,0.0
2018-05-10,1000000.0,1000000.0,0,2018,0.0
2018-05-11,1000000.0,1000000.0,0,2018,0.0
2018-05-14,1000000.0,1000000.0,0,2018,0.0
2018-05-15,1000000.0,1000000.0,0,2018,0.0
2018-05-16,1000000.0,1000000.0,0,2018,0.0
2018-05-17,1000000.0,1000000.0,0,2018,0.0
2018-05-18,1000000.0,1000000.0,0,2018,0.0
2018-05-21,1000000.0,1000000.0,0,2018,0.0
2018-05-22,1000000.0,1000000.0,0,2018,0.0
2018-05-23,1000000.0,1000000.0,0,2018,0.0
2018-05-24,1000000.0,1000000.0,0,2018,0.0
2018-05-25,1000000.0,1000000.0,0,2018,0.0
2018-05-28,1000000.0,1000000.0,0,2018,0.0
2018-05-29,1000000.0,1000000.0,0,2018,0.0
2018-05-30,1000000.0,1000000.0,0,2018,0.0
2018-05-31,1000000.0,1000000.0,0,2018,0.0
2018-06-01,1000000.0,16857.039200000174,3,2018,0.0
2018-06-04,999355.6392000001,16857.039200000174,3,2018,-0.0006443607999998546
2018-06-05,1007152.1392000001,16857.039200000174,3,2018,0.00780152699817771
2018-06-06,1009129.0392000002,16857.039200000174,3,2018,0.0019628613424487185
2018-06-07,1002702.2392000002,16857.039200000174,3,2018,-0.006368660250917979
2018-06-08,998097.3392000002,16857.039200000174,3,2018,-0.004592489993513915
2018-06-11,990168.0392000002,16857.039200000174,3,2018,-0.007944415528003956
2018-06-12,1001486.4392000001,16857.039200000174,3,2018,0.011430787050190627
2018-06-13,994872.4392000001,16857.039200000174,3,2018,-0.006604183283083986
2018-06-14,990504.2392000002,16857.039200000174,3,2018,-0.004390713651201916
2018-06-15,986254.9392000001,16857.039200000174,3,2018,-0.004290037166758687
2018-06-19,970776.5392000002,16857.039200000174,3,2018,-0.01569411658668618
2018-06-20,983728.4392000001,16857.039200000174,3,2018,0.013341793375716948
2018-06-21,981475.7392000002,16857.039200000174,3,2018,-0.002289961243604921
2018-06-22,985012.2392000002,16857.039200000174,3,2018,0.0036032474963492156
2018-06-25,985893.5392000002,16857.039200000174,3,2018,0.0008947096948925815
2018-06-26,982048.7392000002,16857.039200000174,3,2018,-0.0038998125529049465
2018-06-27,967170.8392000003,16857.039200000174,3,2018,-0.015149859071271532
2018-06-28,957290.4392000001,440566.90520000015,1,2018,-0.010215775331039456
2018-06-29,959704.5052000001,440566.90520000015,1,2018,0.002521769675269514
2018-07-02,959640.1052000001,22137.48500000022,1,2018,-6.710398841636156e-05
2018-07-03,958153.3850000002,22137.48500000022,1,2018,-0.0015492476731056026
2018-07-04,960037.4850000002,22137.48500000022,1,2018,0.0019663866239953975
2018-07-05,960004.2850000001,22137.48500000022,1,2018,-3.4581983015091744e-05
2018-07-06,959962.7850000003,22137.48500000022,1,2018,-4.3228973712228225e-05
2018-07-09,959497.9850000002,22137.48500000022,1,2018,-0.00048418543641781664
2018-07-10,958717.7850000001,22137.48500000022,1,2018,-0.0008131335471226464
2018-07-11,958427.2850000001,22137.48500000022,1,2018,-0.0003030088776333484
2018-07-12,958153.3850000002,22137.48500000022,1,2018,-0.000285780678708325
2018-07-13,959190.8850000002,22137.48500000022,1,2018,0.0010828120176187284
2018-07-16,960842.5850000002,22137.48500000022,1,2018,0.0017219721599002202
2018-07-17,962054.3850000001,22137.48500000022,1,2018,0.001261184734021592
2018-07-18,962369.7850000003,22137.48500000022,1,2018,0.00032784009398811875
2018-07-19,963340.8850000002,22137.48500000022,1,2018,0.0010090715805255446
2018-07-20,962942.4850000002,22137.48500000022,1,2018,-0.00041356077189647067
2018-07-23,963847.1850000003,22137.48500000022,1,2018,0.00093951613319887
2018-07-24,961797.0850000002,22137.48500000022,1,2018,-0.002126996926385294
2018-07-25,961904.9850000002,22137.48500000022,1,2018,0.00011218582555794221
2018-07-26,963440.4850000002,22137.48500000022,1,2018,0.0015963115109545178
2018-07-27,962021.1850000003,22137.48500000022,1,2018,-0.0014731579397972983
2018-07-30,962610.4850000002,22137.48500000022,1,2018,0.000612564472787458
2018-07-31,963506.8850000002,22137.48500000022,1,2018,0.0009312177811984235
2018-08-01,965930.4850000002,20795.707000000286,1,2018,0.002515394583817665
2018-08-02,965310.8070000003,20795.707000000286,1,2018,-0.0006415347787682713
2018-08-03,966107.6070000003,20795.707000000286,1,2018,0.0008254336263739948
2018-08-06,966746.7070000003,20795.707000000286,1,2018,0.0006615205132112223
2018-08-07,967286.2070000003,20795.707000000286,1,2018,0.0005580572409438211
2018-08-08,966331.7070000003,20795.707000000286,1,2018,-0.0009867813611861287
2018-08-09,965144.8070000003,20795.707000000286,1,2018,-0.001228253188219175
2018-08-10,964090.7070000003,20795.707000000286,1,2018,-0.001092167716548631
2018-08-13,962928.7070000003,20795.707000000286,1,2018,-0.0012052807807014787
2018-08-14,964987.1070000002,20795.707000000286,1,2018,0.002137645274293387
2018-08-15,962190.0070000003,20795.707000000286,1,2018,-0.0028985879497350764
2018-08-16,961866.3070000004,20795.707000000286,1,2018,-0.0003364200393322081
2018-08-17,954653.6070000003,20795.707000000286,1,2018,-0.007498651265263723
2018-08-20,956031.4070000004,20795.707000000286,1,2018,0.0014432460003266367
2018-08-21,956072.9070000002,20795.707000000286,1,2018,4.340861575879984e-05
2018-08-22,956512.8070000003,20795.707000000286,1,2018,0.00046011135424839367
2018-08-23,957459.0070000003,20795.707000000286,1,2018,0.0009892183283648492
2018-08-24,958811.9070000002,20795.707000000286,1,2018,0.00141301088621959
2018-08-27,958513.1070000002,20795.707000000286,1,2018,-0.00031163567934289205
2018-08-28,959824.5070000002,20795.707000000286,1,2018,0.0013681607381503813
2018-08-29,961102.7070000003,20795.707000000286,1,2018,0.0013317017753537996
2018-08-30,961028.0070000003,20795.707000000286,1,2018,-7.772322297694423e-05
2018-08-31,962505.4070000004,20795.707000000286,1,2018,0.0015373121170652038
2018-09-03,961268.7070000003,10699.298400000378,2,2018,-0.0012848758988842635
2018-09-04,965872.4984000004,10699.298400000378,2,2018,0.00478928666508649
2018-09-05,964831.6984000003,10699.298400000378,2,2018,-0.0010775749405063095
2018-09-06,967420.0984000004,10699.298400000378,2,2018,0.0026827476795097116
2018-09-07,963961.2984000002,10699.298400000378,2,2018,-0.0035752823470596162
2018-09-10,959602.0984000005,10699.298400000378,2,2018,-0.0045221732524274305
2018-09-11,962099.6984000003,10699.298400000378,2,2018,0.00260274545477146
2018-09-12,965814.8984000005,10699.298400000378,2,2018,0.003861554063657513
2018-09-13,969784.0984000004,10699.298400000378,2,2018,0.004109690176218317
2018-09-14,961979.2984000002,10699.298400000378,2,2018,-0.008047976877406993
2018-09-17,960068.0984000004,10699.298400000378,2,2018,-0.0019867371399557854
2018-09-18,963692.0984000005,10699.298400000378,2,2018,0.003774732236223377
2018-09-19,967131.2984000004,10699.298400000378,2,2018,0.0035687747214177
2018-09-20,963846.0984000002,10699.298400000378,2,2018,-0.003396850050696454
2018-09-21,965994.8984000004,10699.298400000378,2,2018,0.0022294015648007814
2018-09-25,967260.4984000004,10699.298400000378,2,2018,0.0013101518466569484
2018-09-26,968009.2984000004,10699.298400000378,2,2018,0.0007741451255776077
2018-09-27,964513.2984000004,10699.298400000378,2,2018,-0.003611535556299339
2018-09-28,966752.8984000004,10699.298400000378,2,2018,0.0023220001255712663
