date,total_value,year,daily_ret
2018-01-02,1000000.0,2018,
2018-01-03,1000000.0,2018,0.0
2018-01-04,1000000.0,2018,0.0
2018-01-05,1000000.0,2018,0.0
2018-01-08,1000000.0,2018,0.0
2018-01-09,1000000.0,2018,0.0
2018-01-10,1000000.0,2018,0.0
2018-01-11,1000000.0,2018,0.0
2018-01-12,1000000.0,2018,0.0
2018-01-15,1000000.0,2018,0.0
2018-01-16,1000000.0,2018,0.0
2018-01-17,1000000.0,2018,0.0
2018-01-18,1000000.0,2018,0.0
2018-01-19,1000000.0,2018,0.0
2018-01-22,1000000.0,2018,0.0
2018-01-23,1000000.0,2018,0.0
2018-01-24,1000000.0,2018,0.0
2018-01-25,1000000.0,2018,0.0
2018-01-26,1000000.0,2018,0.0
2018-01-29,1000000.0,2018,0.0
2018-01-30,1000000.0,2018,0.0
2018-01-31,1000000.0,2018,0.0
2018-02-01,1000000.0,2018,0.0
2018-02-02,1000000.0,2018,0.0
2018-02-05,1000000.0,2018,0.0
2018-02-06,1000000.0,2018,0.0
2018-02-07,1000000.0,2018,0.0
2018-02-08,1000000.0,2018,0.0
2018-02-09,1000000.0,2018,0.0
2018-02-12,1000000.0,2018,0.0
2018-02-13,1000000.0,2018,0.0
2018-02-14,1000000.0,2018,0.0
2018-02-22,1000000.0,2018,0.0
2018-02-23,1000000.0,2018,0.0
2018-02-26,1000000.0,2018,0.0
2018-02-27,1000000.0,2018,0.0
2018-02-28,1000000.0,2018,0.0
2018-03-01,1000000.0,2018,0.0
2018-03-02,1000000.0,2018,0.0
2018-03-05,1000000.0,2018,0.0
2018-03-06,1000000.0,2018,0.0
2018-03-07,1000000.0,2018,0.0
2018-03-08,1000000.0,2018,0.0
2018-03-09,1000000.0,2018,0.0
2018-03-12,1000000.0,2018,0.0
2018-03-13,1000000.0,2018,0.0
2018-03-14,1000000.0,2018,0.0
2018-03-15,1000000.0,2018,0.0
2018-03-16,1000000.0,2018,0.0
2018-03-19,1000000.0,2018,0.0
2018-03-20,1000000.0,2018,0.0
2018-03-21,1000000.0,2018,0.0
2018-03-22,1000000.0,2018,0.0
2018-03-23,1000000.0,2018,0.0
2018-03-26,1000000.0,2018,0.0
2018-03-27,1000000.0,2018,0.0
2018-03-28,1000000.0,2018,0.0
2018-03-29,1000000.0,2018,0.0
2018-03-30,1000000.0,2018,0.0
2018-04-02,1000000.0,2018,0.0
2018-04-03,1000000.0,2018,0.0
2018-04-04,1000000.0,2018,0.0
2018-04-09,1000000.0,2018,0.0
2018-04-10,1000000.0,2018,0.0
2018-04-11,1000000.0,2018,0.0
2018-04-12,1000000.0,2018,0.0
2018-04-13,1000000.0,2018,0.0
2018-04-16,1000000.0,2018,0.0
2018-04-17,1000000.0,2018,0.0
2018-04-18,1000000.0,2018,0.0
2018-04-19,1000000.0,2018,0.0
2018-04-20,1000000.0,2018,0.0
2018-04-23,1000000.0,2018,0.0
2018-04-24,1000000.0,2018,0.0
2018-04-25,1000000.0,2018,0.0
2018-04-26,1000000.0,2018,0.0
2018-04-27,1000000.0,2018,0.0
2018-05-02,1000000.0,2018,0.0
2018-05-03,1000000.0,2018,0.0
2018-05-04,1000000.0,2018,0.0
2018-05-07,1000000.0,2018,0.0
2018-05-08,1000000.0,2018,0.0
2018-05-09,1000000.0,2018,0.0
2018-05-10,1000000.0,2018,0.0
2018-05-11,1000000.0,2018,0.0
2018-05-14,1000000.0,2018,0.0
2018-05-15,1000000.0,2018,0.0
2018-05-16,1000000.0,2018,0.0
2018-05-17,1000000.0,2018,0.0
2018-05-18,1000000.0,2018,0.0
2018-05-21,1000000.0,2018,0.0
2018-05-22,1000000.0,2018,0.0
2018-05-23,1000000.0,2018,0.0
2018-05-24,1000000.0,2018,0.0
2018-05-25,1000000.0,2018,0.0
2018-05-28,1000000.0,2018,0.0
2018-05-29,1000000.0,2018,0.0
2018-05-30,1000000.0,2018,0.0
2018-05-31,1000000.0,2018,0.0
2018-06-01,1000000.0,2018,0.0
2018-06-04,1000000.0,2018,0.0
2018-06-05,1000000.0,2018,0.0
2018-06-06,1000000.0,2018,0.0
2018-06-07,1000000.0,2018,0.0
2018-06-08,1000000.0,2018,0.0
2018-06-11,1000000.0,2018,0.0
2018-06-12,1000000.0,2018,0.0
2018-06-13,1000000.0,2018,0.0
2018-06-14,1000000.0,2018,0.0
2018-06-15,1000000.0,2018,0.0
2018-06-19,1000000.0,2018,0.0
2018-06-20,1000000.0,2018,0.0
2018-06-21,1000000.0,2018,0.0
2018-06-22,1000000.0,2018,0.0
2018-06-25,1000000.0,2018,0.0
2018-06-26,1000000.0,2018,0.0
2018-06-27,1000000.0,2018,0.0
2018-06-28,1000000.0,2018,0.0
2018-06-29,1000000.0,2018,0.0
2018-07-02,1000000.0,2018,0.0
2018-07-03,1000000.0,2018,0.0
2018-07-04,1000000.0,2018,0.0
2018-07-05,1000000.0,2018,0.0
2018-07-06,1000000.0,2018,0.0
2018-07-09,1000000.0,2018,0.0
2018-07-10,1000000.0,2018,0.0
2018-07-11,1000000.0,2018,0.0
2018-07-12,1000000.0,2018,0.0
2018-07-13,1000000.0,2018,0.0
2018-07-16,1000000.0,2018,0.0
2018-07-17,1000000.0,2018,0.0
2018-07-18,1000000.0,2018,0.0
2018-07-19,1000000.0,2018,0.0
2018-07-20,1000000.0,2018,0.0
2018-07-23,1000000.0,2018,0.0
2018-07-24,1000000.0,2018,0.0
2018-07-25,1000000.0,2018,0.0
2018-07-26,1000000.0,2018,0.0
2018-07-27,1000000.0,2018,0.0
2018-07-30,1000000.0,2018,0.0
2018-07-31,1000000.0,2018,0.0
2018-08-01,1000000.0,2018,0.0
2018-08-02,999767.6230000001,2018,-0.0002323769999998948
2018-08-03,1000602.8230000001,2018,0.000835394126380784
2018-08-06,1001272.7230000001,2018,0.0006694964121642943
2018-08-07,1001838.2230000001,2018,0.0005647811899895938
2018-08-08,1000837.7230000001,2018,-0.0009986642324386619
2018-08-09,999593.6230000001,2018,-0.0012430586611691385
2018-08-10,998488.7230000001,2018,-0.001105349188487148
2018-08-13,997270.7230000001,2018,-0.001219843521457542
2018-08-14,999428.3230000001,2018,0.0021635048039005955
2018-08-15,996496.4230000002,2018,-0.002933577058532033
2018-08-16,996157.1230000001,2018,-0.0003404929432446746
2018-08-17,988596.8230000002,2018,-0.007589465381958593
2018-08-20,990041.0230000002,2018,0.0014608584272175484
2018-08-21,990084.523,2018,4.393757328169379e-05
2018-08-22,990545.623,2018,0.0004657178142759566
2018-08-23,991537.4230000001,2018,0.001001266349546004
2018-08-24,992955.523,2018,0.0014302032047457391
2018-08-27,992642.3230000001,2018,-0.0003154219829037963
2018-08-28,994016.9230000001,2018,0.0013847888289164612
2018-08-29,995356.7230000001,2018,0.0013478643763493725
2018-08-30,995278.4230000002,2018,-7.866526461386414e-05
2018-08-31,996827.0230000002,2018,0.0015559465213081936
2018-09-03,995530.7230000001,2018,-0.0013004262224942664
2018-09-04,992088.8290000003,2018,-0.0034573458362266996
2018-09-05,993280.7290000003,2018,0.0012014045165706921
2018-09-06,992889.2290000003,2018,-0.0003941483898456388
2018-09-07,992097.5290000001,2018,-0.0007973699148671187
2018-09-10,992254.1290000002,2018,0.00015784738437751855
2018-09-11,990435.8290000001,2018,-0.0018324942641786413
2018-09-12,992010.5290000002,2018,0.0015899061341408949
2018-09-13,991758.2290000002,2018,-0.00025433197796231877
2018-09-14,991575.5290000001,2018,-0.00018421828491832493
2018-09-17,991584.2290000002,2018,8.7739155976152e-06
2018-09-18,991297.1290000002,2018,-0.0002895366743473904
2018-09-19,991627.7290000002,2018,0.00033350242861440726
2018-09-20,991940.9290000001,2018,0.0003158443343609374
2018-09-21,993124.1290000002,2018,0.0011928129643696828
2018-09-25,993106.7290000002,2018,-1.7520468481135865e-05
2018-09-26,994124.6290000002,2018,0.0010249653640197476
2018-09-27,994585.7290000002,2018,0.0004638251448048081
2018-09-28,997195.7290000002,2018,0.002624208174215603
2018-10-08,999562.1290000002,2018,0.002373054688444176
2018-10-09,997535.0290000002,2018,-0.002027987997132219
2018-10-10,993628.7290000003,2018,-0.00391595270986711
2018-10-11,997039.1290000002,2018,0.0034322679089926478
2018-10-12,998161.4290000001,2018,0.0011256328536730642
2018-10-15,999309.8290000001,2018,0.0011505153040731741
2018-10-16,999222.8290000001,2018,-8.706008634684625e-05
2018-10-17,999753.5290000002,2018,0.0005311127654390457
2018-10-18,1001754.5290000002,2018,0.0020014933100576116
2018-10-19,1002041.6290000003,2018,0.00028659715697676447
2018-10-22,1000432.1290000002,2018,-0.001606220693252336
2018-10-23,1000658.3290000003,2018,0.00022610229464148368
2018-10-24,1000841.0290000002,2018,0.0001825798024213121
2018-10-25,1000171.1290000002,2018,-0.0006693370681150057
2018-10-26,1000153.7290000003,2018,-1.7397022864740208e-05
2018-10-29,1000258.1290000003,2018,0.00010438395315937044
2018-10-30,999901.4290000001,2018,-0.0003566079491468255
2018-10-31,1000232.0290000003,2018,0.0003306325907852514
2018-11-01,1000971.5290000002,2018,0.0007393284543579792
2018-11-02,997075.8430000003,2018,-0.0038919049015228024
2018-11-05,998467.8430000003,2018,0.001396082364017337
2018-11-06,999459.6430000002,2018,0.0009933219251405667
2018-11-07,1000982.1430000003,2018,0.0015233231383211532
2018-11-08,1002252.3430000003,2018,0.0012689537060004419
2018-11-09,1001686.8430000002,2018,-0.0005642291623958462
2018-11-12,1003696.5430000003,2018,0.0020063156604723797
2018-11-13,1002774.3430000002,2018,-0.0009188036029731395
2018-11-14,1004610.0430000003,2018,0.0018306212288081714
2018-11-15,1008020.4430000003,2018,0.003394750056266327
2018-11-16,1009055.7430000002,2018,0.001027062503731413
2018-11-19,1008681.6430000003,2018,-0.0003707426498438249
2018-11-20,1006593.6430000003,2018,-0.0020700287493979896
2018-11-21,1007150.4430000002,2018,0.0005531527085154142
2018-11-22,1006550.1430000003,2018,-0.0005960380637989315
2018-11-23,1001599.8430000003,2018,-0.00491808583449771
2018-11-26,1001547.6430000003,2018,-5.2116621587883216e-05
2018-11-27,1001834.7430000002,2018,0.00028665635829372427
2018-11-28,1001869.5430000002,2018,3.4736267875645765e-05
2018-11-29,1001895.6430000003,2018,2.6051295981988076e-05
2018-11-30,1002156.6430000003,2018,0.0002605061732960934
2018-12-03,1002896.1430000003,2018,0.0007379085945948827
2018-12-04,1003812.4270000004,2018,0.0009136379737777478
2018-12-05,1006126.6270000004,2018,0.002305410789659401
2018-12-06,1008353.8270000004,2018,0.00221363786647899
2018-12-07,1007953.6270000003,2018,-0.0003968844955849482
2018-12-10,1009528.3270000003,2018,0.0015622742533174527
2018-12-11,1010885.5270000004,2018,0.0013443902104592897
2018-12-12,1011050.8270000004,2018,0.00016351999863983835
2018-12-13,1009415.2270000004,2018,-0.0016177228249277809
2018-12-14,1008075.4270000004,2018,-0.0013273031396424662
2018-12-17,1008901.9270000004,2018,0.0008198791259694804
2018-12-18,1009684.9270000004,2018,0.0007760912919734242
2018-12-19,1010946.4270000004,2018,0.0012493996555422715
2018-12-20,1009284.7270000004,2018,-0.0016437072782690132
2018-12-21,1011398.8270000004,2018,0.0020946517305220347
2018-12-24,1011259.6270000004,2018,-0.00013763116614717852
2018-12-25,1010833.3270000004,2018,-0.0004215534652211028
2018-12-26,1010720.2270000003,2018,-0.0001118878819872382
2018-12-27,1011059.5270000004,2018,0.0003357012068583298
2018-12-28,1016149.0270000004,2018,0.005033828240659011
2019-01-02,1013312.8270000003,2019,-0.002791126030375124
2019-01-03,1011757.2079000003,2019,-0.0015351814943520559
2019-01-04,1013537.4079000003,2019,0.0017595130393932568
2019-01-07,1014492.0079000004,2019,0.0009418497951427796
2019-01-08,1014354.4079000003,2019,-0.00013563438541519535
2019-01-09,1014371.6079000003,2019,1.6956598074546747e-05
2019-01-10,1014311.4079000005,2019,-5.934708693633439e-05
2019-01-11,1013915.8079000004,2019,-0.0003900182891752868
2019-01-14,1013047.2079000004,2019,-0.0008566786248248581
2019-01-15,1013339.6079000004,2019,0.0002886341304924045
2019-01-16,1014156.6079000004,2019,0.0008062450077255257
2019-01-17,1014775.8079000005,2019,0.00061055658975806
2019-01-18,1014191.0079000003,2019,-0.0005762849246577773
2019-01-21,1013133.2079000004,2019,-0.0010429987958483489
2019-01-22,1013434.2079000004,2019,0.000297098148252406
2019-01-23,1013202.0079000004,2019,-0.00022912192837964973
2019-01-24,1013520.2079000004,2019,0.0003140538584793795
2019-01-25,1013485.8079000004,2019,-3.3941109148005744e-05
2019-01-28,1013288.0079000004,2019,-0.00019516800181917926
2019-01-29,1013907.2079000003,2019,0.0006110799646026344
2019-01-30,1014629.6079000004,2019,0.000712491236250612
2019-01-31,1015231.6079000004,2019,0.0005933199616026119
2019-02-01,1016143.2079000004,2019,0.0008979231861048209
2019-02-11,1031465.5529000005,2019,0.015078922814103946
2019-02-12,1038520.1529000005,2019,0.006839394665353327
2019-02-13,1073198.5529000005,2019,0.033392130045009516
2019-02-14,1071247.5529000005,2019,-0.0018179301441731965
2019-02-15,1047547.6529000005,2019,-0.022123644470264048
2019-02-18,1107207.4529000004,2019,0.05695187215096076
2019-02-19,1116191.9529000006,2019,0.0081145588177427
2019-02-20,1119390.9529000006,2019,0.002865994501831448
2019-02-21,1127124.0529000005,2019,0.006908310255649086
2019-02-22,1237503.3529000008,2019,0.09793003681893153
2019-02-25,1359424.2529000007,2019,0.09852167245792676
2019-02-26,1329886.4529000004,2019,-0.021728169066418057
2019-02-27,1318988.4529000004,2019,-0.008194684573435085
2019-02-28,1277217.4529000004,2019,-0.03166896564421018
2019-03-01,1318907.7529000004,2019,0.032641505097929624
2019-03-04,1327223.946600001,2019,0.006305364178590178
2019-03-05,1333869.246600001,2019,0.005006916893733893
2019-03-06,1364182.946600001,2019,0.02272614056982647
2019-03-07,1377709.146600001,2019,0.009915239032793677
2019-03-08,1300529.146600001,2019,-0.05602053248355776
2019-03-11,1327061.046600001,2019,0.02040084996892433
2019-03-12,1345359.146600001,2019,0.013788438781230816
2019-03-13,1324670.7466000011,2019,-0.01537760385565723
