date,total_value,eq,year,daily_ret
2019-01-07,888469.1711000006,0.4,2019,0.001709448019684201
2019-01-08,888555.3711000006,0.4,2019,9.702081153051267e-05
2019-01-09,890845.2711000006,0.4,2019,0.002577104448949763
2019-01-10,889210.3711000008,0.4,2019,-0.0018352233020005881
2019-01-11,891742.4711000005,0.4,2019,0.0028475826219473976
2019-01-14,889125.7711000006,0.4,2019,-0.002934367359190726
2019-01-15,896364.1711000007,0.4,2019,0.008141030476537692
2019-01-16,889866.7711000007,0.4,2019,-0.007248616365407079
2019-01-17,887740.1711000006,0.4,2019,-0.002389795943690931
2019-01-18,893108.1711000005,0.4,2019,0.006046814343602769
2019-01-21,893346.1711000005,0.4,2019,0.0002664850772855498
2019-01-22,888669.0711000006,0.4,2019,-0.005235484464259588
2019-01-23,887848.2711000006,0.4,2019,-0.0009236284086989732
2019-01-24,891575.5711000005,0.4,2019,0.004198127226605841
2019-01-25,893236.5711000006,0.4,2019,0.0018629940678509538
2019-01-28,892209.0711000005,0.4,2019,-0.0011503111641910646
2019-01-29,892898.3711000006,0.4,2019,0.0007725767674051642
2019-01-30,890380.1711000006,0.4,2019,-0.002820253772999548
2019-01-31,894263.5711000006,0.4,2019,0.004361507731245107
2019-02-01,901475.5711000006,1.0,2019,0.00806473643014316
2019-02-11,915954.8643000006,1.0,2019,0.016061769907233403
2019-02-12,921994.5643000007,1.0,2019,0.0065938838641528275
2019-02-13,943109.3643000005,1.0,2019,0.022901219614055668
2019-02-14,945413.3643000006,1.0,2019,0.002442982847180364
2019-02-15,928732.8643000006,1.0,2019,-0.01764360504079665
2019-02-18,963510.2643000006,1.0,2019,0.03744607447073833
2019-02-19,962970.8643000006,1.0,2019,-0.0005598279748393331
2019-02-20,966135.3643000007,1.0,2019,0.0032861845745462137
2019-02-21,966608.8643000005,1.0,2019,0.0004900969548329304
2019-02-22,1008823.8643000006,1.0,2019,0.043673301124308894
2019-02-25,1085612.0643000007,1.0,2019,0.0761165578227887
2019-02-26,1061276.9643000006,1.0,2019,-0.022416018392068304
2019-02-27,1057675.8643000005,1.0,2019,-0.0033931764479363524
2019-02-28,1046000.6643000005,1.0,2019,-0.01103854251957137
2019-03-01,1072624.2643000006,1.0,2019,0.025452756301848956
2019-03-04,1080518.152700001,1.0,2019,0.007359416211931258
2019-03-05,1086618.4527000007,1.0,2019,0.005645717274398665
2019-03-06,1106418.2527000008,1.0,2019,0.018221483309805775
2019-03-07,1110603.8527000006,1.0,2019,0.0037830178504247858
2019-03-08,1054279.1527000007,1.0,2019,-0.05071538322424185
2019-03-11,1071351.7527000008,1.0,2019,0.01619362381991274
2019-03-12,1079595.0527000008,1.0,2019,0.007694298328467131
2019-03-13,1067872.9527000007,1.0,2019,-0.010857867466772642
2019-03-14,1054255.9527000007,1.0,2019,-0.012751516896809534
2019-03-15,1069013.1527000007,1.0,2019,0.013997739317673341
2019-03-18,1106625.8527000009,1.0,2019,0.03518450629442871
2019-03-19,1097342.7527000008,1.0,2019,-0.008388652747765457
2019-03-20,1102596.6527000007,1.0,2019,0.004787838610199824
2019-03-21,1105006.652700001,1.0,2019,0.0021857494253212373
2019-03-22,1102652.6527000007,1.0,2019,-0.0021303039164953796
2019-03-25,1070432.8527000006,1.0,2019,-0.02922026253789467
2019-03-26,1054525.3527000006,1.0,2019,-0.014860810708374417
2019-03-27,1065419.9527000007,1.0,2019,0.010331283142795522
2019-03-28,1063341.9527000007,1.0,2019,-0.0019504046218901117
2019-03-29,1120108.3527000009,1.0,2019,0.05338489641630417
2019-04-01,1146609.3527000006,1.0,2019,0.023659318258023587
2019-04-02,1139851.076500001,1.0,2019,-0.005894140130712877
2019-04-03,1166047.5765000011,1.0,2019,0.022982388261139075
2019-04-04,1179773.3765000012,1.0,2019,0.0117712178101681
2019-04-08,1171247.376500001,1.0,2019,-0.007226811665553945
2019-04-09,1172410.076500001,1.0,2019,0.000992702330292028
2019-04-10,1168172.8765000012,1.0,2019,-0.0036140938097777298
2019-04-11,1144333.676500001,1.0,2019,-0.02040725348068817
2019-04-12,1143228.276500001,1.0,2019,-0.000965976989666828
2019-04-15,1131602.3765000012,1.0,2019,-0.010169360082303625
2019-04-16,1162945.076500001,1.0,2019,0.02769762652579555
2019-04-17,1160810.476500001,1.0,2019,-0.00183551230675838
2019-04-18,1156759.276500001,1.0,2019,-0.0034899753939289235
2019-04-19,1171149.176500001,1.0,2019,0.012439839724942114
2019-04-22,1145576.1765000012,1.0,2019,-0.021835817770392896
2019-04-23,1147149.0765000011,1.0,2019,0.0013730208713012004
2019-04-24,1151111.4765000013,1.0,2019,0.0034541282220177383
2019-04-25,1125771.476500001,1.0,2019,-0.022013506525925264
2019-04-26,1118227.976500001,1.0,2019,-0.006700738255913663
2019-04-29,1109721.8765000012,1.0,2019,-0.007606767295004979
2019-04-30,1112712.976500001,1.0,2019,0.0026953600387096266
2019-05-06,1038494.7112000011,0.4,2019,-0.06670027838935688
2019-05-07,1043367.2015000011,0.4,2019,0.004691877818395307
