factor,horizon_days,market_state,weeks,mean_rank_ic,ic_t_stat,top_minus_bottom_return,top_minus_bottom_hit_rate
reversal_5,5,all,172,0.0033694575741056113,0.10148224757254809,-8.327707355549711e-05,0.5290697674418605
reversal_5,5,bear,40,0.01215146845766778,0.17913833179058336,-0.0005135464098544567,0.575
reversal_5,5,bear_high_vol,30,0.037854432787374104,0.46632754225366474,0.006959727465530681,0.6
reversal_5,5,bull,29,0.002685275117432384,0.03313130543573115,-0.0032043128423046535,0.4827586206896552
reversal_5,5,bull_high_vol,29,0.033265720081135916,0.3713270244425012,0.0003095568684396804,0.5172413793103449
reversal_5,5,range,27,-0.10956493672981317,-1.3171225437943543,-0.009579865955370873,0.37037037037037035
reversal_5,5,range_high_vol,17,0.0513840830449827,0.5520908665040575,0.008237098812577068,0.6470588235294118
reversal_5,20,all,172,0.007370537637802547,0.2197172645205611,0.000801475391804779,0.5058139534883721
reversal_5,20,bear,40,0.017411699507310176,0.23352464089728225,-0.0025836036835440177,0.45
reversal_5,20,bear_high_vol,30,0.1011764705882353,1.640862064355348,0.01907075064154295,0.6666666666666666
reversal_5,20,bull,29,-0.006440722190237554,-0.0701991706996263,0.002669151793928483,0.5517241379310345
reversal_5,20,bull_high_vol,29,-0.042089249492900604,-0.4910292698073964,-0.007827674459683782,0.4482758620689655
reversal_5,20,range,27,-0.07388502739052102,-0.9578010634915014,-0.011325684024192836,0.4074074074074074
reversal_5,20,range_high_vol,17,0.055190311418685134,0.48127483325161935,0.0073215306732943705,0.5294117647058824
momentum_20,5,all,172,0.010966483715907792,0.3125372202338137,0.0009843155617807223,0.5
momentum_20,5,bear,40,-0.013483469518786617,-0.21533905022574484,-0.0021948730407443037,0.475
momentum_20,5,bear_high_vol,30,0.007602311350788649,0.07664239662679823,-0.0014631778852215404,0.5
momentum_20,5,bull,29,-0.06247292794723371,-0.7206596394764092,0.0012009990716758449,0.4827586206896552
momentum_20,5,bull_high_vol,29,0.06196754563894524,0.6631888953831522,0.00489281277585853,0.5517241379310345
