date,code,market_state,reversal_5,momentum_20,momentum_60,momentum_120,low_volatility_20,drawdown_20,forward_return_5,forward_return_20
2022-09-02,512480,bear,-0.0010764262648008671,-0.12593984962406013,-0.04222451081359413,-0.16815742397137745,-0.015716466988649192,-0.13002806361085117,0.009677419354838568,-0.18279569892473124
2022-09-02,159995,bear,0.016309012875536544,-0.10608424336973488,-0.041004184100418506,-0.1866572036905607,-0.01497778941332413,-0.11024844720496907,0.015706806282722585,-0.17888307155322858
2022-09-02,512760,bear,0.0018674136321195078,-0.11652892561983474,-0.03519855595667887,-0.17579028527370855,-0.015363610210694273,-0.11725846407927343,0.01028999064546321,-0.19176800748362954
2022-09-02,515050,bear,0.018640350877192957,-0.05888538380651942,-0.013230429988974612,-0.09687184661957615,-0.016619951296405915,-0.07826982492276002,-0.006703910614525133,-0.18882681564245818
2022-09-02,512000,bear,0.015748031496062964,0.02100350058343059,-0.03314917127071826,-0.024526198439241975,-0.014988475851631542,-0.03100775193798455,0.027428571428571358,-0.11428571428571421
2022-09-02,515030,bear,0.07490636704119857,-0.11071107110711076,-0.07835820895522394,0.003045685279187804,-0.02040394502861033,-0.1337132836475231,0.019230769230769162,-0.12095141700404854
2022-09-02,159875,bear,0.06971904266389173,-0.07357512953367873,-0.01541850220264318,-0.01866081229418226,-0.01859267577901115,-0.1295034079844205,0.03579418344519025,-0.10850111856823264
2022-09-02,512660,bear,0.004336513443191747,-0.04730290456431552,0.0231729055258465,-0.006060606060606211,-0.01564115252070101,-0.08452950558213723,0.04529616724738683,-0.07317073170731692
2022-09-02,512690,bear,0.030989272943980906,-0.03672985781990523,-0.028673835125448077,-0.014545454545454528,-0.014077391756274588,-0.042402826855123754,-0.014760147601475926,-0.04182041820418192
2022-09-02,159928,bear,0.024074074074074137,-0.026777469990766356,0.004766444232602529,0.005725190839694694,-0.01147921780578566,-0.024976873265494803,-0.017077798861480087,-0.04079696394686916
2022-09-02,512010,bear,0.012526096033402934,-0.07072691552062871,-0.03861788617886186,-0.06150793650793651,-0.014146699222578628,-0.0652173913043479,0.0042283298097252064,-0.09513742071881603
2022-09-02,159801,bear,0.015544041450777257,-0.10377358490566047,-0.04282115869017644,-0.18803418803418803,-0.013861586874893365,-0.10728269381362565,0.01403508771929829,-0.17719298245614035
2022-09-02,512890,bear,-0.011848341232227444,0.06883604505632035,0.005889281507656108,0.062189054726368154,-0.006787061564018045,0.0,0.04683840749414525,-0.014051522248243575
2022-09-02,510880,bear,0.00033557046979859617,0.05451327433628306,0.005060728744939347,0.045997191011236005,-0.008984571797102422,-0.00766155896069276,0.043303121852970694,-0.0046995636119504525
2022-09-02,168204,bear,0.04280155642023353,0.11818181818181817,-0.014521782674011052,0.1862567811934901,-0.020877829300005125,-0.06017191977077363,0.058943089430894435,0.016260162601626105
2022-09-02,512400,bear,0.06762132060461412,-0.0764381402679275,-0.08722741433021819,-0.09006211180124235,-0.01674229621132558,-0.10806697108066976,0.06740614334470996,-0.08959044368600677
2022-09-09,512480,bear,-0.009677419354838568,-0.09971236816874396,-0.02085505735140769,-0.1586021505376345,-0.015746207499889503,-0.09011627906976749,-0.054313099041533475,-0.13738019169329063
2022-09-09,159995,bear,-0.015706806282722585,-0.07619047619047625,-0.015228426395939132,-0.170940170940171,-0.014508169314851712,-0.08705882352941174,-0.06529209621993115,-0.1391752577319587
2022-09-09,512760,bear,-0.01028999064546321,-0.08706677937447171,-0.013698630136986245,-0.16473317865429227,-0.015636469904498233,-0.08860759493670889,-0.06018518518518534,-0.1425925925925926
2022-09-09,515050,bear,0.006703910614525133,-0.06910994764397904,-0.025219298245614086,-0.08539094650205759,-0.014002613219966995,-0.08444902162718848,-0.07086614173228356,-0.12148481439820025
2022-09-09,512000,bear,-0.027428571428571358,0.005592841163311046,-0.030204962243797207,-0.023887079261672106,-0.00943408245260183,-0.0044296788482834915,-0.08453837597330371,-0.09677419354838701
2022-09-09,515030,bear,-0.019230769230769162,-0.08786231884057993,-0.1131660061646852,-0.007881773399014746,-0.019927748400420563,-0.11705392371766787,-0.0670307845084408,-0.07894736842105254
2022-09-09,159875,bear,-0.03579418344519025,-0.05413687436159342,-0.025263157894736765,0.027746947835738167,-0.01811583399116382,-0.09834469328140205,-0.09071274298056164,-0.0734341252699785
2022-09-09,512660,bear,-0.04529616724738683,-0.02200488997555028,0.0771992818671452,0.03896103896103886,-0.016442778786561103,-0.029911075181891733,-0.03416666666666657,-0.03749999999999998
2022-09-09,512690,bear,0.014760147601475926,-0.05653710247349819,-0.06860465116279058,0.02168367346938771,-0.01395306635664726,-0.04869358669833723,-0.0012484394506866447,-0.03745318352059923
2022-09-09,159928,bear,0.017077798861480087,-0.035381750465549366,-0.04251386321626616,0.019685039370078705,-0.010853062312499006,-0.04162812210915812,-0.0009652509652510188,-0.01737451737451734
2022-09-09,512010,bear,-0.0042283298097252064,-0.06126482213438744,-0.07587548638132302,-0.09351145038167952,-0.012941095601163454,-0.04426559356136828,-0.07157894736842096,0.012631578947368327
2022-09-09,159801,bear,-0.01403508771929829,-0.07520000000000004,-0.016170212765957537,-0.17546362339514976,-0.013652235598829816,-0.08399366085578452,-0.0640138408304497,-0.13754325259515565
2022-09-09,512890,bear,-0.04683840749414525,0.08626974483596617,0.06937799043062198,0.15653298835705054,-0.007654820464609215,0.0,-0.03803131991051456,-0.057046979865771896
2022-09-09,510880,bear,-0.043303121852970694,0.0662092624356776,0.06914344685242524,0.1260869565217393,-0.010207765474447907,0.0,-0.040862290862290984,-0.04536679536679533
2022-09-09,168204,bear,-0.058943089430894435,0.112059765208111,0.08938839519079989,0.34974093264248696,-0.022248550565895798,-0.005250596658711304,-0.05854126679462579,-0.06525911708253362
2022-09-09,512400,bear,-0.06740614334470996,-0.03098373353989159,-0.061515378844711255,0.01050080775444262,-0.01948583961707126,-0.047945205479452135,-0.07434052757793763,-0.10951239008792946
2022-09-16,512480,bear,0.03927813163481941,-0.12306201550387597,-0.04636459430979967,-0.17652411282984526,-0.015906999168642848,-0.0968063872255489,-0.06740331491712714,-0.08950276243093935
2022-09-16,159995,bear,0.05222602739726023,-0.1317647058823529,-0.05706984667802384,-0.19840695148443155,-0.014352343102468728,-0.110128617363344,-0.06865401987353215,-0.09575429087624221
2022-09-16,512760,bear,0.04428044280442811,-0.12573839662447261,-0.046918123275068946,-0.184251968503937,-0.015624070294788569,-0.10303030303030303,-0.07432432432432434,-0.0926640926640927
2022-09-16,515050,bear,0.05180180180180183,-0.13285272914521118,-0.06858407079646023,-0.14949494949494957,-0.01328113430088241,-0.1220020855057351,-0.05938242280285033,-0.0890736342042755
2022-09-16,512000,bear,0.05549263873159693,-0.07023411371237465,-0.10992529348986135,-0.08951965065502188,-0.015375277124153383,-0.0723025583982203,-0.015587529976019199,-0.031175059952038287
2022-09-16,515030,bear,0.06425702811244971,-0.1766784452296819,-0.2105040237187633,-0.07905138339920947,-0.021049135654734735,-0.1828145550197282,0.011266094420600892,-0.033798283261802675
2022-09-16,159875,bear,0.0888407367280607,-0.18111002921129504,-0.14532520325203258,-0.06762749445676286,-0.020492544650304933,-0.1746810598626104,0.00832342449464929,-0.01189060642092743
2022-09-16,512660,bear,0.020729684908789348,-0.04527081649151177,0.03144104803493453,0.012864493996569637,-0.0172432827889229,-0.03748981255093731,-0.005080440304826461,-0.024555461473327767
2022-09-16,512690,bear,-0.0,-0.04347826086956508,-0.08545034642032323,0.008917197452229297,-0.014668281543603837,-0.05826397146254447,0.005050505050504972,-0.06944444444444453
2022-09-16,159928,bear,0.0009756097560974508,-0.026615969581749055,-0.06141154903758017,0.001956947162426559,-0.011261312235577477,-0.052728954671600325,-0.010742187500000111,-0.0556640625
2022-09-16,512010,bear,0.02819956616052066,-0.07628865979381438,-0.125,-0.1578947368421053,-0.013922601722279146,-0.07438016528925617,-0.0647321428571429,0.0558035714285714
2022-09-16,159801,bear,0.0491803278688524,-0.12678288431061802,-0.054888507718696244,-0.19620714806710426,-0.013719045516333336,-0.10913500404203713,-0.07259528130671511,-0.09528130671506363
2022-09-16,512890,bear,0.02491506228765572,0.0487210718635811,0.03985507246376807,0.06956521739130417,-0.011575174297463681,-0.03691275167785235,-0.010452961672473893,-0.0325203252032521
2022-09-16,510880,bear,0.027406199021207223,0.02124015073655361,0.03542896839180276,0.03041825095057038,-0.01270099578333552,-0.040862290862290984,0.004025494800402596,-0.011741026501174034
2022-09-16,168204,bear,0.05082284607938037,0.03646934460887952,0.08582502768549283,0.17144563918757472,-0.024311808479049332,-0.06396181384248212,0.023457419683834857,-0.03620601733809292
2022-09-16,512400,bear,0.04922067268252672,-0.08811959087332799,-0.09805447470817108,-0.09098039215686271,-0.02125756773099919,-0.10363495746326368,0.012079378774805916,-0.07247627264883527
2022-09-23,512480,bear,0.06740331491712714,-0.1068783068783069,-0.16765285996055235,-0.19542421353670159,-0.014106917736726227,-0.11623036649214658,-0.02962085308056872,-0.0082938388625593
