lookback_days,trailing_stop_pct,annualized_return,sharpe_ratio,max_drawdown,profit_factor
40,0.08,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
40,0.1,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
40,0.12,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
40,0.15,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
50,0.08,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
50,0.1,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
50,0.12,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
50,0.15,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
60,0.08,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
60,0.1,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
60,0.12,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
60,0.15,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
70,0.08,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
70,0.1,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
70,0.12,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
70,0.15,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
80,0.08,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
80,0.1,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
80,0.12,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
80,0.15,0.2649437619563759,1.9245143533693776,-0.03266223574561708,1.1372654524946477
