lookback_days,trailing_stop_pct,annualized_return,sharpe_ratio,max_drawdown,profit_factor,max_recovery_days
40,0.08,-0.13693518827551387,-0.5580870464327509,-0.5620008714559123,0.4978204771285725,104
40,0.1,-0.6046164810362157,-1.270005267207168,-0.9878577711243203,0.431909207215572,181
40,0.12,0.005057679279562688,0.0600931041251835,-0.12846863278171572,0.8852128299206548,181
40,0.15,0.03629891759916748,0.22941581245506754,-0.2166576179165383,0.9662000438559446,181
50,0.08,-0.13707130062942086,-0.5586357690181054,-0.5620008714559123,0.5080884296588435,104
50,0.1,-0.6053295169471762,-1.271485779116445,-0.9878881015107608,0.4276836875977915,181
50,0.12,0.004916806349920977,0.058416147922870455,-0.12846863278171572,0.8883962085790341,181
50,0.15,0.03623131995668749,0.2289856793311956,-0.2166576179165383,0.9660389495716251,181
60,0.08,-0.13709516758342544,-0.5587310959406687,-0.5620008714559123,0.5100706300978756,104
60,0.1,-0.6054107216926093,-1.271641043074511,-0.9878953709749159,0.4314015343296315,181
60,0.12,0.0048890601599083094,0.058084612549511645,-0.12848834758325386,0.8882871825725375,181
60,0.15,0.03618456479306609,0.22868894283702734,-0.2166576179165383,0.9659329695002368,181
70,0.08,-0.12894399343692742,-0.5382168540636896,-0.5524859088836166,0.5113115607866082,112
70,0.1,0.014075809103878623,0.1737595726132911,-0.11666984435716694,0.9213039892884165,181
70,0.12,0.009634986335132378,0.11775459197051785,-0.1293057302836362,0.9110114882699626,181
70,0.15,0.041082653858114604,0.2617546523969419,-0.21665734492696345,0.9811463294416489,181
80,0.08,-0.1344036535651102,-0.5638163626750953,-0.5515251562964933,0.47027509093615477,133
80,0.1,0.008115988973981914,0.10653297784940076,-0.1133021455180124,0.895166654574529,178
80,0.12,-0.6022529909852173,-1.2688463047176375,-0.9874300692543375,0.4123865435789093,178
80,0.15,0.03476323806089687,0.22506051746568564,-0.2166586683110841,0.9628575571284694,178
