年份,年度收益,最大回撤,权益仓位占比
2018,6.264770700000022,-1.3324908956877743,32.510288065843625
2019,3.1031503957299256,-1.0947912241155393,95.90163934426229
2020,1.632121322142277,-4.903182761500309,95.88477366255144
2021,4.4175429431511315,-0.7716593233996203,90.12345679012346
2022,2.1146013609195213,-1.2085447916092416,95.86776859504133
2023,3.309625534661098,-0.9588735908494471,100.0
2024,5.975137332452118,-0.8602602114210492,99.58677685950413
2025,-0.9077332788197223,-1.54406654447034,98.35390946502058
